id,name
446,Subatomic Studios LLC
447,Superflat Games
448,Jet Set Games
449,Spry Fox LLC
450,Spaces of Play UG
451,Brain Candy
452,Human Head Studios
453,Thekla
454,Topware Interactive ACE
455,Teotl Studios
456,Spooky Squid Games Inc.
457,Hanako Games
458,Kyle Pulver
459,Mrray
460,Smudged Cat Games Ltd
461,Sector3 Studios
462,Chucklefish
463,Black Market Games
464,Illwinter Game Design
465,Evolved Games
466,bitComposer Games
467,Qooc Software
468,Gaijin Distribution KFT
469,Turtle Cream
470,VALOFE
471,Subset Games
472,Crankshaft Games
473,Gameforge 4D GmbH
474,New Star Games
475,Vlambeer
476,Penny Arcade
477,Warner Bros. Interactive Entertainment 
478,BitSits Games
479,Engient
480,IPACS
481,Larian Studios
482,SuperVillain Studios
483,Microsoft Studios
484,Marvelous
485,Aleksey Abramenko
486,Ankama Games
487,Haemimont Games
488,Mad Catz
489,Alkemi
490,Circle 5 Publishing
491,Reverb Publishing
492,NeocoreGames
493,stealth.gg
494,BancyCo
495,Okugi Sudio
496,Okugi Studio
497,Naddic Games
498,Nacon
499,Camel101 LLC
500,Nexon America Inc.
501,Big Ant Studios
502,Rubicon Development
503,Cyanide Studio
504,Apogee Entertainment
505,Dotemu
506,2x2 Games
507,Level Up Labs
508,Starbreeze Publishing AB
509,Shiver Games
510,Might and Delight
511,Rovio Entertainment Ltd
512,Keen Software House
513,Torn Banner Studios
514,Twisted Tree
515,Transhuman Design
516,Demruth
517,Crate Entertainment
518,SkyGoblin
519,Webzen
520,Private Division 
521,Crocodile Entertainment
522,Bithell Games
523,Exor Studios
524,EXOR Studios
525,Sos Sosowski
526,Ben Prunty Music
527,SMP
528,Omni Systems
529,Tomorrow Corporation
530,505 Games
531,Galactic Cafe
532,Neko Entertainment
533,Red Fly Studio
534,SNK CORPORATION
535,Dovetail Games
536,24 Caret Games
537,Abbey Games
538,The Binary Mill
539,New World Interactive
540,CSR-Studios
541,Zeptolab UK Limited
542,Gamestorm Ltd
543,Shawn McGrath
544,Running With Scissors
545,ioneo
546,IonFX Studios
547,LudoCraft Ltd.
548,Team Psykskallar
549,advocatus
550,Eagle Dynamics SA
551,Goldhawk Interactive
552,Blackbird Interactive
553,Lever Games
554,Games Foundry 
555,Young Horses
556,Robotronic Games
557,Trapdoor
558,Adult Swim Games
559,Giants Software 
560,Over The Top Games
561,Puny Human
562,Sven Co-op team
563,QCF Design
564,OP Productions LLC
565,Radial Games Corp
566,Minority Media
567,Badland Studio
568,Space Bullet Dynamics Corporation
569,Tiger Style
570,Artifice Studio
571,SCS Software
572,Digital Leisure Inc.
573,Aventurine
574,ATLUS USA
575,Bitbox S.L.
576,Tragnarion Studios
577,EightyEightGames
578,Sauropod Studio
579,TLM Partners
580,Beamdog
581,3 Sprockets
582,17-BIT
583,HyperSloth
584,Degica
585,Hello Games
586,Going Loud Studios
587,Iron Tower Studio
588,Northway Games
589,Brightrock Games
590,Senscape
591,Metanet Software Inc.
592,Giant Army
593,Spicy Horse
594,Digital Extremes
595,Fish Eagle
596,PLAYISM
597,Internal Games
598,Zombie Studios
599,Temple Gates Games
600,droqen
601,Eko Software
602,Threaks
603,Facepalm Games
604,Cardboard Computer
605,Santa Ragione
606,Lucky Frame
607,Array
608,Replay Games
609,Snowbird Games
610,Fullbright
611,22cans Ltd.
612,Kuno Interactive
613,Lupus Studios Limited
614,Climax Group
615,Shiro Unlimited
616,Boss Baddie
617,The Digital Lounge
618,Refract
619,Kerberos Productions
620,Bossa Studios
621,The Men Who Wear Many Hats
622,Lo-Fi Games
623,Spark Unlimited
624,@unepic_fran
625,D3 Go!
626,Digital Tribe
627,Toxic Games
628,Analgesic Productions
629,The Secret Experiment
630,Nival
631,Laboratory Systems
632,Ludochip
633,Dylan Fitterer
634,I-Illusions
635,Swing Swing Submarine
636,L3O Interactive
637,March Entertainment
638,Zero Point Software
639,United Independent Entertainment
640,KOG Games
641,KING Art
642,WB Games Montreal
643,Screenwave Media
644,Red Thread Games
645,Pathea Games
646,Ghostlight LTD
647,Stoic Studio
648,Reverb Triple XP
649,FarSight Studios
650,Red Barrels
651,Monochrome
652,Kerberos Productions Inc.
653,Megadev
654,Grinding Gear Games
655,3909
656,Crackshell
657,Beau Blyth
658,Mossmouth
659,Gravity Interactive
660,Ian Campbell
661,Greenheart Games 💚
662,DoubleBear Productions
663,Ghostlight
664,OVALIS INVESTMENTS LIMITED
665,Plug In Digital
666,Origo Games
667,Bennett Foddy
668,Conifer Games
669,Top Meadow
670,Zen Studios
671,Cellar Door Games
672,Team2Bit
673,Masangsoft
674,Endnight Games Ltd
675,Phoenix Online Publishing
676,Carlsen Games
677,Indomitus Games
678,M2H
679,Shining Rock Software LLC
680,My Little Planet Ltd
681,Untame
682,Phosfiend Systems
683,Adam Sklar
684,Tate Multimedia
685,Double Eleven
686,Gamepires
687,1C Game Studios
688,1C-777
689,Kunos Simulazioni
690,Dead Shark Triplepunch
691,Iron Galaxy
692,Team Colorblind
693,Schine GmbH
694,2&30 Software
695,Lucky Pause
696,Crytek
697,Die Gute Fabrik
698,Autumn Games
699,Disney 
700,Gamepot
701,2K 
702,Namco Bandai Games
703,Matt Cohen
704,Ironhide Game Studio
705,Ndemic Creations
706,Moonshark
707,ShadowShifters
708,Aterdux Entertainment
709,Chainsawesome Games
710,Vex Studios
711,WildTangent
712,Commotion Games Pty Ltd
713,RuneStorm
714,Impromptu Games
715,Nomad Games
716,Vertigo Gaming Inc.
